[Fri 19 Dec 2025 22:47:45 GMT] Data fetched for BTCUSDT
[Sat 20 Dec 2025 10:05:22 GMT] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:26:28 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:28:25 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:42:00 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:43:00 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:44:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:45:00 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:46:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:47:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:48:00 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:49:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 10:59:01 GMT 2025] ERROR: Download failed
[Sat Dec 20 11:00:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
[Sat Dec 20 11:01:01 GMT 2025] SUCCESS: Downloaded BTCUSDT
